X,Y,clu
0.92,0.05,1
-0.58,0.12,1
0.09,0.25,1
0.71,-0.32,1
0.83,0.39,1
0.81,-0.16,1
0.72,-0.12,1
-0.13,-0.23,1
0.64,-0.65,1
0.14,-0.22,1
-0.14,0.75,1
0.22,0.14,1
-0.02,-0.12,1
-0.38,0.05,1
0.82,-0.19,1
0.1,0.26,1
-0.02,0.07,1
0.61,-0.16,1
0.34,-0.47,1
0.43,-0.39,1
-0.17,0.66,1
-0.69,0.01,1
-0.27,0.34,1
-0.23,0.22,1
0.25,0.51,1
0.48,-0.06,1
-0.49,-0.71,1
0.79,-0.28,1
-0.09,-0.06,1
0.06,-0.02,1
0.48,0.36,1
0.79,0.03,1
0.23,-0.02,1
-0.37,0.38,1
0.13,0.04,1
-0.36,0.09,1
0.15,-0.03,1
0.33,0.27,1
0.73,0.31,1
-0.26,-0.31,1
0.18,0.0,1
0.34,-0.84,1
0.28,-0.47,1
-0.09,0.05,1
-0.72,0.05,1
0.56,-0.8,1
-0.02,-0.31,1
-0.18,-0.18,1
-0.14,-0.65,1
0.08,0.11,1
0.06,-0.06,1
0.53,-0.02,1
0.22,0.57,1
-0.37,-0.78,1
0.13,0.07,1
0.42,-0.75,1
0.24,-0.38,1
-0.53,-0.5,1
-0.14,-0.06,1
-0.41,-0.06,1
-0.12,0.08,1
-0.18,0.29,1
-0.59,0.38,1
-0.01,0.08,1
0.07,-0.02,1
0.54,0.82,1
0.04,-0.01,1
-0.02,0.1,1
0.17,0.14,1
-0.13,-0.65,1
0.51,-0.86,1
-0.96,-0.1,1
0.02,0.68,1
0.66,-0.75,1
-0.04,0.11,1
0.02,-0.44,1
0.09,0.14,1
-0.14,-0.53,1
0.7,-0.32,1
-0.55,-0.11,1
-0.3,0.08,1
0.71,0.67,1
-0.14,0.88,1
0.23,0.05,1
-0.68,-0.11,1
-0.05,0.07,1
0.4,-0.77,1
0.32,-0.11,1
-0.16,-0.61,1
-0.29,-0.23,1
-0.74,0.33,1
-0.38,-0.05,1
-0.33,-0.34,1
-0.11,-0.18,1
0.19,-0.1,1
-0.11,0.29,1
0.15,0.52,1
0.06,-0.82,1
0.02,-0.66,1
0.29,0.32,1
0.15,-0.83,1
0.05,-0.1,1
-0.31,-0.4,1
-0.67,0.27,1
0.04,-0.01,1
-0.3,0.61,1
0.24,-0.14,1
0.13,-0.13,1
-0.13,0.36,1
0.01,0.54,1
0.1,-0.16,1
0.28,0.51,1
0.14,-0.24,1
-0.19,0.61,1
-0.05,0.05,1
0.38,-0.53,1
0.21,-0.89,1
0.39,-0.5,1
-0.36,0.4,1
0.11,-0.88,1
-0.63,-0.09,1
0.16,-0.03,1
0.25,-0.06,1
0.01,-0.01,1
0.15,-0.98,1
-0.24,-0.78,1
0.5,0.64,1
-0.69,0.57,1
-0.17,0.15,1
0.13,-0.52,1
0.46,-0.83,1
0.2,-0.05,1
-0.4,0.76,1
-0.07,0.89,1
-0.56,-0.13,1
-0.01,-0.0,1
-0.78,0.06,1
0.64,-0.47,1
0.11,-0.64,1
0.32,-0.39,1
0.04,0.96,1
0.03,-0.52,1
0.14,-0.28,1
-0.3,-0.01,1
-0.34,0.84,1
-0.19,0.79,1
-0.23,-0.37,1
-0.59,-0.27,1
-0.73,-0.06,1
0.47,-0.05,1
-0.18,0.64,1
-0.22,0.68,1
0.15,0.48,1
-0.03,0.02,1
0.05,-0.03,1
0.12,0.09,1
0.02,0.06,1
0.62,0.4,1
-0.08,-0.0,1
0.0,0.18,1
-0.03,-0.01,1
0.15,-0.48,1
0.35,0.29,1
0.57,0.4,1
0.59,-0.21,1
-0.53,-0.12,1
0.15,-0.83,1
0.59,-0.47,1
-0.05,0.16,1
-0.77,0.07,1
-0.11,0.33,1
-0.84,0.24,1
0.52,0.57,1
-0.84,0.06,1
0.11,-0.68,1
-0.05,0.6,1
0.13,0.5,1
0.12,0.07,1
-0.45,0.8,1
0.42,-0.77,1
0.21,-0.09,1
-0.09,0.91,1
0.08,-0.03,1
-0.23,0.11,1
0.09,-0.07,1
0.32,0.01,1
0.25,-0.77,1
0.0,-0.0,1
0.23,-0.01,1
0.03,0.04,1
-0.12,-0.34,1
-0.41,0.23,1
-0.34,0.61,1
0.75,0.22,1
-0.13,-0.53,1
-0.0,0.0,1
-0.06,0.28,1
0.45,0.8,1
0.04,-0.47,1
0.53,-0.05,1
-0.02,0.15,1
-0.23,-0.4,1
0.21,0.03,1
-0.04,0.07,1
0.02,-0.23,1
0.43,-0.13,1
0.13,0.59,1
-0.05,0.12,1
0.13,-0.3,1
0.07,0.07,1
-0.08,0.14,1
-0.85,-0.18,1
0.44,0.13,1
-0.76,0.12,1
0.38,-0.38,1
0.43,0.45,1
0.0,0.09,1
-0.52,0.03,1
-0.59,0.19,1
0.02,0.14,1
0.34,0.0,1
-0.94,0.3,1
-0.16,-0.5,1
0.66,-0.55,1
-0.09,0.12,1
0.63,0.6,1
-0.03,0.47,1
0.03,-0.04,1
-0.02,-0.08,1
-0.03,0.03,1
-0.27,-0.43,1
-0.1,0.62,1
0.04,-0.03,1
-0.71,-0.46,1
0.77,-0.35,1
-0.53,0.21,1
0.04,0.22,1
0.38,0.87,1
-0.59,0.28,1
0.14,-0.37,1
0.36,0.55,1
-0.35,0.15,1
-0.17,-0.78,1
0.73,-0.39,1
0.04,-0.61,1
-0.14,0.2,1
0.29,-0.79,1
-0.01,0.0,1
-0.05,0.56,1
-0.41,-0.47,1
-0.45,-0.14,1
-0.19,-0.47,1
-0.36,0.1,1
-0.57,0.19,1
-0.18,-0.18,1
-0.29,-0.06,1
-0.09,0.24,1
-0.78,0.35,1
-0.36,-0.25,1
-0.53,0.15,1
0.18,0.54,1
-0.92,-0.18,1
-0.48,0.5,1
0.53,0.63,1
-0.37,0.4,1
0.1,0.05,1
-0.06,-0.24,1
0.24,0.39,1
0.12,0.03,1
0.28,0.65,1
-0.51,0.17,1
-0.15,-0.91,1
-0.18,0.05,1
0.73,-0.17,1
-0.59,0.32,1
0.25,-0.13,1
0.19,0.79,1
-0.11,-0.39,1
-0.26,-0.9,1
-0.77,0.41,1
0.5,-0.5,1
0.87,-0.05,1
0.28,0.18,1
-0.02,0.0,1
0.83,0.34,1
0.64,-0.02,1
-0.26,-0.06,1
0.18,0.14,1
0.62,0.29,1
0.08,0.02,1
-0.81,-0.3,1
-0.56,0.56,1
-0.34,-0.15,1
0.1,0.44,1
0.07,-0.17,1
0.81,-0.57,1
-0.05,-0.06,1
-0.86,0.25,1
-0.48,0.46,1
-0.69,-0.07,1
0.01,0.01,1
0.19,-0.83,1
0.82,0.54,1
-0.2,-0.39,1
0.15,0.46,1
-0.12,-0.0,1
0.01,-0.05,1
-0.59,0.3,1
0.15,0.15,1
-0.67,0.18,1
0.42,0.67,1
0.06,-0.29,1
0.24,0.41,1
-0.16,-0.83,1
0.34,0.28,1
0.47,0.15,1
-0.29,0.19,1
0.07,-0.21,1
-0.66,-0.47,1
0.42,-0.88,1
-0.51,0.19,1
0.47,-0.07,1
0.23,-0.15,1
0.91,0.34,1
0.02,-0.14,1
-0.74,-0.61,1
0.6,-0.28,1
0.02,-0.07,1
0.05,0.28,1
-0.12,0.05,1
-0.1,0.48,1
0.6,0.32,1
0.04,0.03,1
2.81,0.76,2
3.36,1.01,2
3.28,1.22,2
3.04,0.75,2
2.97,1.01,2
3.02,0.87,2
3.41,1.08,2
2.74,0.85,2
3.19,1.07,2
2.61,1.27,2
2.83,0.9,2
3.29,0.96,2
2.96,1.0,2
2.94,0.62,2
3.01,0.93,2
3.02,1.29,2
2.75,1.18,2
2.99,0.98,2
3.26,1.36,2
2.93,1.05,2
2.68,1.22,2
2.68,0.82,2
2.76,1.29,2
2.65,1.2,2
2.87,0.85,2
3.17,0.99,2
3.0,1.0,2
2.94,0.97,2
3.01,1.01,2
3.05,1.1,2
2.94,0.82,2
2.96,1.09,2
2.79,1.33,2
3.04,0.88,2
2.93,1.18,2
3.0,1.04,2
3.47,0.98,2
2.67,0.99,2
3.19,1.12,2
3.42,1.04,2
3.09,0.65,2
3.3,0.97,2
3.2,0.81,2
2.93,1.07,2
2.88,0.8,2
3.32,0.75,2
3.1,1.03,2
3.48,1.03,2
2.89,0.8,2
3.11,0.78,2
2.86,1.03,2
3.13,1.03,2
2.93,0.81,2
3.0,1.01,2
3.0,0.93,2
2.97,1.0,2
2.75,1.07,2
3.0,0.98,2
3.0,1.0,2
3.1,1.07,2
3.32,1.07,2
3.0,1.0,2
3.2,0.57,2
3.06,1.13,2
3.2,1.01,2
3.19,1.09,2
2.89,1.38,2
3.31,1.04,2
2.9,1.06,2
3.22,1.12,2
2.91,1.24,2
3.22,0.86,2
3.04,1.46,2
2.61,0.74,2
3.01,1.0,2
2.85,0.86,2
3.39,0.71,2
3.29,1.29,2
3.16,0.73,2
3.1,0.9,2
2.94,1.05,2
3.28,0.96,2
3.06,1.38,2
3.17,1.06,2
3.23,1.37,2
3.31,1.39,2
2.93,0.9,2
2.79,0.82,2
2.82,1.44,2
3.25,0.98,2
2.71,0.93,2
2.66,1.29,2
2.98,0.94,2
2.55,1.0,2
3.25,0.6,2
2.79,0.85,2
2.72,1.14,2
3.07,0.75,2
2.9,1.11,2
2.68,1.03,2
2.98,1.07,2
3.0,0.78,2
3.2,1.05,2
2.66,0.78,2
2.52,0.95,2
2.81,1.23,2
2.82,0.82,2
2.95,0.88,2
3.32,0.82,2
2.9,1.21,2
2.76,1.01,2
2.71,1.0,2
2.97,1.04,2
3.05,1.25,2
2.99,0.86,2
3.02,1.01,2
2.91,1.49,2
3.14,1.41,2
2.57,0.93,2
2.85,0.78,2
2.88,0.64,2
2.58,1.22,2
3.2,0.93,2
3.4,0.74,2
3.16,1.32,2
3.15,1.01,2
2.81,0.75,2
3.15,0.55,2
2.93,0.77,2
2.93,1.04,2
3.27,1.07,2
2.93,1.09,2
3.28,0.6,2
2.97,0.58,2
3.18,0.65,2
3.18,1.26,2
3.14,1.22,2
3.1,1.36,2
2.88,0.61,2
3.1,0.97,2
3.25,1.09,2
3.02,0.84,2
3.13,0.98,2
2.91,0.61,2
3.17,1.0,2
2.9,0.86,2
2.8,1.39,2
2.72,1.2,2
3.08,0.77,2
3.08,1.09,2
3.11,1.14,2
3.0,0.58,2
2.95,0.76,2
2.93,0.7,2
3.01,0.89,2
3.16,0.72,2
2.77,1.04,2
3.31,1.24,2
2.86,0.96,2
2.81,1.21,2
2.84,0.91,2
2.95,0.84,2
3.07,1.03,2
2.99,1.03,2
3.05,1.48,2
3.28,1.26,2
3.08,0.92,2
